City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Mar Del Plata,AR,-38.0023,-57.5575,84.22,54,0,10.36,clear sky
226,Esperance,AU,-33.8667,121.9,64.24,69,0,12.93,clear sky
227,Skibbereen,IE,51.55,-9.2667,50.11,90,100,14.65,light rain
228,Scarborough,GB,54.2797,-0.4044,47.66,69,40,11.99,scattered clouds
229,Samarai,PG,-10.6167,150.6667,82.74,78,100,6.29,overcast clouds
230,Khandyga,RU,62.6667,135.6,-40.2,100,43,0.56,scattered clouds
231,Walvis Bay,NA,-22.9575,14.5053,81.55,61,50,14.97,scattered clouds
232,Flinders,AU,-34.5833,150.8552,70.38,80,51,5.01,broken clouds
233,Gushikawa,JP,26.3544,127.8686,61.83,82,99,14.41,overcast clouds
234,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,79,96,8.57,overcast clouds
235,Kita,ML,13.0349,-9.4895,95.16,8,24,4.88,few clouds
236,Pachino,IT,36.7186,15.0907,64.44,85,68,11.01,broken clouds
237,Butembo,CD,0.15,29.2833,65.34,74,98,1.43,overcast clouds
238,Chipoka,MW,-13.9933,34.5157,77.29,83,82,2.48,moderate rain
239,Winnemucca,US,40.973,-117.7357,29.1,74,99,14.54,overcast clouds
240,Sandwick,GB,60.0,-1.25,40.82,93,75,6.91,broken clouds
241,Byron Bay,AU,-28.65,153.6167,71.49,81,32,6.8,scattered clouds
242,Pisco,PE,-13.7,-76.2167,71.65,73,0,3.44,clear sky
243,Port-Gentil,GA,-0.7193,8.7815,81.57,75,22,12.26,few clouds
244,Guerrero Negro,MX,27.9769,-114.0611,58.96,81,13,6.64,few clouds
245,Srednekolymsk,RU,67.45,153.6833,-31.2,100,57,5.95,broken clouds
246,Tazovskiy,RU,67.4667,78.7,-19.16,98,14,9.8,few clouds
247,Mkushi,ZM,-13.6202,29.3939,69.19,92,82,6.51,light rain
248,Yakeshi,CN,49.2833,120.7333,-16.91,100,100,3.69,overcast clouds
249,Neuquen,AR,-38.9516,-68.0591,88.16,17,1,12.19,clear sky
250,Korla,CN,41.7597,86.1469,31.3,47,98,1.14,overcast clouds
251,Tecoanapa,MX,16.5167,-98.75,79.34,61,3,0.78,clear sky
252,Liverpool,GB,53.4106,-2.9779,49.14,76,20,17.27,few clouds
253,Bonthe,SL,7.5264,-12.505,87.31,58,8,15.7,clear sky
254,Auki,SB,-8.7676,160.7034,77.04,88,100,2.68,overcast clouds
255,Arboletes,CO,8.8505,-76.4269,84.18,73,35,4.85,scattered clouds
256,Bambous Virieux,MU,-20.3428,57.7575,82.65,83,75,6.91,light rain
257,Bani Walid,LY,31.7566,13.9942,72.12,16,8,11.95,clear sky
258,Siocon,PH,7.7061,122.1353,77.94,81,84,5.93,broken clouds
259,Daru,PG,-9.0763,143.2092,80.04,78,100,7.7,overcast clouds
260,El Naranjo,MX,21.4667,-98.6,59.11,72,55,2.44,broken clouds
261,College Place,US,46.0493,-118.3883,41.22,81,100,4.0,overcast clouds
262,Tianpeng,CN,30.9866,103.9393,55.87,79,100,2.62,overcast clouds
263,Bairnsdale,AU,-37.8333,147.6167,62.06,94,12,2.28,few clouds
264,Matay,EG,28.419,30.7792,65.3,35,0,16.69,clear sky
265,Meadow Lake,US,34.8014,-106.5436,47.5,29,84,6.53,broken clouds
266,Dubovskoye,RU,47.4092,42.7575,35.73,53,0,7.09,clear sky
267,Kapit,MY,2.0167,112.9333,70.88,99,82,0.98,broken clouds
268,Beringovskiy,RU,63.05,179.3167,-16.37,95,98,14.05,overcast clouds
269,Necochea,AR,-38.5473,-58.7368,79.03,45,71,7.7,broken clouds
270,Waingapu,ID,-9.6567,120.2641,79.21,84,11,7.23,few clouds
271,Spas-Demensk,RU,54.4122,34.0226,27.16,86,5,8.55,clear sky
272,Disraeli,CA,45.9001,-71.3491,5.22,73,100,11.74,overcast clouds
273,Snasa,NO,64.2457,12.3778,26.01,81,100,16.33,light snow
274,Narasapur,IN,16.45,81.6667,71.56,72,86,6.85,overcast clouds
275,Basco,PH,20.4487,121.9702,72.45,72,99,18.92,overcast clouds
276,Krasnoselkup,RU,65.7,82.4667,-13.65,94,6,9.6,clear sky
277,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,74.61,76,93,7.36,overcast clouds
278,Keningau,MY,5.3378,116.1602,73.85,99,86,0.85,overcast clouds
279,Port Macquarie,AU,-31.4333,152.9167,64.89,76,100,6.2,overcast clouds
280,Barcelona,ES,41.3888,2.159,64.81,34,20,11.5,few clouds
281,Bonao,DO,18.9369,-70.4092,81.12,62,14,4.41,few clouds
282,Tabou,CI,4.423,-7.3528,84.13,69,68,5.99,light rain
283,Quelimane,MZ,-17.8786,36.8883,79.18,86,100,8.23,moderate rain
284,Jaque,PA,7.5175,-78.1703,81.64,75,53,3.11,light rain
285,Valdivia,CL,-39.8142,-73.2459,59.09,44,2,4.54,clear sky
286,Obo,CF,5.3998,26.4869,97.61,8,61,6.49,broken clouds
287,Zaykovo,RU,57.5613,62.7568,11.01,96,82,6.22,broken clouds
288,Lompoc,US,34.6391,-120.4579,52.12,75,75,18.01,broken clouds
289,Urumqi,CN,43.801,87.6005,28.65,93,100,2.24,light snow
290,Yulara,AU,-25.2406,130.9889,84.06,41,98,17.78,overcast clouds
291,Ganzhou,CN,28.8184,115.4327,45.34,82,23,2.46,few clouds
292,Cayenne,GF,4.9333,-52.3333,77.04,94,100,4.61,mist
293,Maan,PH,5.9339,124.7356,78.78,83,46,2.68,scattered clouds
294,Victoria,HK,22.2855,114.1577,64.18,84,59,5.99,broken clouds
295,Baruun-Urt,MN,46.6806,113.2792,-14.67,94,34,2.33,scattered clouds
296,Port Blair,IN,11.6667,92.75,80.69,76,100,11.95,overcast clouds
297,Outlook,CA,51.5001,-107.0513,10.78,97,100,1.61,overcast clouds
298,Nelson Bay,AU,-32.7167,152.15,72.0,85,100,11.61,overcast clouds
299,Gouloure,BF,12.2306,-1.9289,97.83,6,5,8.25,clear sky
300,Kidal,ML,18.4411,1.4078,88.12,7,0,4.52,clear sky
301,Aden,YE,12.7794,45.0367,77.67,65,2,11.07,clear sky
302,Serenje,ZM,-13.2325,30.2352,64.29,94,100,4.21,light rain
303,Kalabo,ZM,-14.97,22.6814,77.56,67,86,1.83,overcast clouds
