City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Mataura,NZ,2022-02-12 15:41:20,-46.1927,168.8643,51.48,91,100,3.15
88,Bambous Virieux,MU,2022-02-12 15:50:25,-20.3428,57.7575,80.85,74,20,3.44
89,Castelo Do Piaui,BR,2022-02-12 15:50:26,-5.3222,-41.5525,96.17,32,62,3.42
90,Longyearbyen,SJ,2022-02-12 15:50:27,78.2186,15.6401,12.04,73,0,14.97
91,Pevek,RU,2022-02-12 15:51:29,69.7008,170.3133,-25.64,98,100,8.61
92,Tual,ID,2022-02-12 15:51:30,-5.6667,132.75,82.76,71,13,2.42
93,Faanui,PF,2022-02-12 15:51:31,-16.4833,-151.75,79.61,77,75,13.94
94,Vodnyy,RU,2022-02-12 15:51:32,63.5046,53.4095,14.52,95,100,6.64
95,Torbay,CA,2022-02-12 15:51:25,47.6666,-52.7314,38.17,77,100,12.66
96,Fortuna,US,2022-02-12 15:51:33,40.5982,-124.1573,47.32,76,0,9.22
97,Padang,ID,2022-02-12 15:47:06,-0.9492,100.3543,78.24,81,98,3.83
98,Hilo,US,2022-02-12 15:48:47,19.7297,-155.09,67.73,86,100,1.01
99,Nador,MA,2022-02-12 15:51:36,35.174,-2.9287,62.67,67,20,6.91
100,Meulaboh,ID,2022-02-12 15:51:37,4.1363,96.1285,78.26,84,74,2.98
101,High Level,CA,2022-02-12 15:51:38,58.5169,-117.136,-9.29,84,100,0.0
102,Calvia,ES,2022-02-12 15:51:39,39.5657,2.5062,58.91,71,9,4.27
103,Bodden Town,KY,2022-02-12 15:51:40,19.2833,-81.25,84.0,72,75,12.66
104,Siniscola,IT,2022-02-12 15:51:41,40.5719,9.6922,56.75,76,65,8.43
105,Sergach,RU,2022-02-12 15:51:42,55.5308,45.4661,24.84,95,100,8.9
106,Mount Isa,AU,2022-02-12 15:51:43,-20.7333,139.5,74.97,78,52,6.91
107,Severo-Kurilsk,RU,2022-02-12 15:42:58,50.6789,156.125,18.63,79,77,3.31
108,Puerto Ayora,EC,2022-02-12 15:43:10,-0.7393,-90.3518,78.76,86,91,3.0
109,Honavar,IN,2022-02-12 15:51:45,14.2833,74.45,74.07,75,2,2.89
110,Kimbe,PG,2022-02-12 15:51:46,-5.5502,150.1429,74.77,95,100,1.92
111,Konstantinovka,RU,2022-02-12 15:51:47,49.6167,127.9833,4.14,95,100,8.99
112,Benghazi,LY,2022-02-12 15:51:48,32.1167,20.0667,57.43,57,1,7.45
113,Dikson,RU,2022-02-12 15:51:49,73.5069,80.5464,0.32,75,100,28.16
114,Luang Prabang,LA,2022-02-12 15:51:51,19.8856,102.1347,69.01,85,59,1.92
115,Alekseyevka,RU,2022-02-12 15:51:52,50.6309,38.6903,21.97,97,88,5.84
116,Caravelas,BR,2022-02-12 15:40:52,-17.7125,-39.2481,84.72,61,96,9.82
117,Tarko-Sale,RU,2022-02-12 15:51:54,64.9225,77.785,-6.5,91,6,15.39
118,Shitanjing,CN,2022-02-12 15:51:55,39.2342,106.3439,22.51,73,77,3.13
119,Ikere,NG,2022-02-12 15:51:56,7.4913,5.2322,96.73,15,100,2.77
120,Kharp,RU,2022-02-12 15:51:57,66.8014,65.8081,-9.65,97,100,6.22
121,Kihei,US,2022-02-12 15:51:08,20.785,-156.4656,70.84,85,0,0.0
122,Yarmouth,US,2022-02-12 15:51:59,41.7057,-70.2286,58.44,71,0,16.11
123,Nanortalik,GL,2022-02-12 15:52:00,60.1432,-45.2371,31.14,91,100,8.61
124,Uvat,RU,2022-02-12 15:52:01,59.1433,68.8953,4.57,89,100,9.17
125,Iqaluit,CA,2022-02-12 15:51:51,63.7506,-68.5145,-24.07,62,20,2.3
126,Pirgos,GR,2022-02-12 15:52:02,35.1167,25.7178,58.68,60,44,4.81
127,Leshukonskoye,RU,2022-02-12 15:52:04,64.8989,45.7622,17.78,95,100,6.08
