City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Mumford,GH,5.2618,-0.759,79.57,83,84,7.83,broken clouds
105,Lakes Entrance,AU,-37.8811,147.981,74.46,57,87,2.51,overcast clouds
106,Guaymas,MX,27.9333,-110.9,92.88,47,0,6.91,clear sky
107,Lethem,GY,3.3803,-59.7968,84.51,57,95,12.44,overcast clouds
108,Touros,BR,-5.1989,-35.4608,83.3,76,8,14.0,clear sky
109,Shimoda,JP,34.6667,138.95,36.1,86,100,19.15,light rain
110,Yarim,YE,14.298,44.3779,50.7,64,3,1.52,clear sky
111,Koforidua,GH,6.0941,-0.2591,74.55,85,100,1.61,overcast clouds
112,San Vicente,AR,-26.6167,-54.1333,75.9,54,52,3.02,broken clouds
113,Cape Town,ZA,-33.9258,18.4232,68.34,83,7,8.01,clear sky
114,Wuwei,CN,37.9281,102.6414,23.81,64,70,2.8,broken clouds
115,Qitaihe,CN,45.8,130.85,-7.76,100,85,1.41,overcast clouds
116,Barcelos,PT,41.5388,-8.6151,53.74,85,19,6.08,few clouds
117,Pathein,MM,16.7833,94.7333,61.41,82,62,3.91,broken clouds
118,Bluff,NZ,-46.6,168.3333,63.81,65,34,0.34,scattered clouds
119,Verkhoyansk,RU,67.5447,133.385,-22.0,94,100,1.21,overcast clouds
120,Thompson,CA,55.7435,-97.8558,-5.64,65,20,2.3,few clouds
121,Mananjary,MG,-21.2167,48.3333,74.82,90,44,0.47,scattered clouds
122,Provideniya,RU,64.3833,-173.3,-3.89,65,0,6.71,clear sky
123,Cabo San Lucas,MX,22.8909,-109.9124,83.61,59,100,3.0,overcast clouds
124,Nikolskoye,RU,59.7035,30.7861,33.71,92,100,12.21,light snow
125,Samarai,PG,-10.6167,150.6667,82.22,70,32,6.06,scattered clouds
126,Gao,ML,16.6362,1.637,70.81,11,1,7.7,clear sky
127,Mahebourg,MU,-20.4081,57.7,81.25,84,84,13.78,light rain
128,Souillac,MU,-20.5167,57.5167,81.36,85,73,12.5,broken clouds
129,Torres,BR,-29.3353,-49.7269,74.82,94,94,6.58,overcast clouds
130,Aswan,EG,24.0934,32.907,60.82,29,0,9.89,clear sky
131,Wagar,SD,16.1525,36.2032,68.94,60,87,14.43,overcast clouds
132,Khani,GE,41.9563,42.9566,31.57,82,88,6.98,overcast clouds
133,Nanortalik,GL,60.1432,-45.2371,27.14,90,100,8.05,light snow
134,Maningrida,AU,-12.0667,134.2667,80.29,75,6,8.03,clear sky
135,Neuquen,AR,-38.9516,-68.0591,89.49,19,0,4.61,clear sky
136,Pangkalanbuun,ID,-2.6833,111.6167,74.08,96,98,1.41,overcast clouds
137,Acapulco,MX,16.8634,-99.8901,85.82,66,75,4.61,broken clouds
138,Kaitangata,NZ,-46.2817,169.8464,59.94,70,8,4.63,clear sky
139,Veracruz,MX,19.3333,-96.6667,59.86,60,92,4.36,overcast clouds
140,Cayenne,GF,4.9333,-52.3333,80.1,85,75,5.01,broken clouds
141,Balabac,PH,7.9868,117.0645,80.19,79,93,12.19,overcast clouds
142,Luanda,AO,-8.8368,13.2343,77.09,85,100,2.3,overcast clouds
